Name,School,POS,CMP,ATT,CMP%,YDS,AVG,LNG,TD,INT,SACK,RTG
A. Jeanty,BOIS,QB,391,592,66.0,"4,779",8.1,67,34,12,27,148.8
C. Skattebo,ASU,QB,305,454,67.2,"4,313",9.5,77,39,7,22,172.2
O. Hampton,UNC,QB,276,398,69.3,"4,279",10.8,75,29,6,28,180.7
B. Daily,ARMY,QB,353,477,74.0,"4,134",8.7,69,37,10,42,168.2
T. Stewart,JVST,QB,337,525,64.2,"4,052",7.7,76,29,12,16,142.7
R. Harvey,UCF,QB,309,423,73.1,"4,010",9.5,75,35,10,14,175.3
K. Johnson,IOWA,QB,313,471,66.5,"3,949",8.4,84,27,11,16,151.1
T. Brooks,TTU,QB,326,447,72.9,"3,857",8.6,69,30,6,21,164.9
D. Sampson,TENN,QB,322,510,63.1,"3,774",7.4,96,31,12,12,140.6
M. Hughes,TULN,QB,308,486,63.4,"3,639",7.5,76,36,6,23,148.2
M. Anderson Jr.,MEM,QB,271,456,59.4,"3,505",7.7,75,25,9,15,138.1
A. Hardy,ULM,QB,309,477,64.8,"3,502",7.3,89,25,6,19,141.2
T. Huff,JVST,QB,290,448,64.7,"3,485",7.8,67,28,12,18,145.3
D. Giddens,KSU,QB,293,445,65.8,"3,472",7.8,54,31,12,31,149.0
B. Smith,SMU,QB,294,467,63.0,"3,424",7.3,69,25,10,27,137.9
K. Monangai,RUTG,QB,295,466,63.3,"3,335",7.2,70,27,8,23,139.1
M. Cooper,SDSU,QB,262,394,66.5,"3,327",8.4,59,24,8,19,153.5
J. James,ORE,QB,247,380,65.0,"3,245",8.5,87,23,11,14,150.9
D. Neal,KU,QB,273,390,70.0,"3,227",8.3,70,30,13,17,158.2
Q. Cooley,LIB,QB,244,389,62.7,"3,195",8.2,86,23,6,14,148.1
B. Horvath,NAVY,QB,230,381,60.4,"3,154",8.3,94,15,9,32,138.2
A. Tyus III,OHIO,QB,224,347,64.6,"3,139",9.0,59,29,7,31,164.1
J. Hunter,AUB,QB,258,389,66.3,"3,108",8.0,74,25,10,24,149.5
I. Brown,LOU,QB,269,418,64.4,"3,092",7.4,71,16,10,29,134.3
R. Harris,ECU,QB,229,368,62.2,"3,071",8.3,53,28,8,15,153.1
D. Dampier,UNM,QB,269,402,66.9,"3,044",7.6,66,18,5,26,142.8
B. Tuten,VT,QB,222,320,69.4,"3,042",9.5,84,29,5,20,176.0
C. Kiner,CIN,QB,247,396,62.4,"3,018",7.6,53,23,6,13,142.5
W. Marks,USC,QB,265,386,68.7,"3,004",7.8,66,16,6,41,144.6
J. Love,ND,QB,218,390,55.9,"3,003",7.7,83,23,14,15,132.9
K. Udoh,ARMY,QB,260,430,60.5,"2,958",6.9,78,18,12,28,126.5
P. Mafah,CLEM,QB,213,368,57.9,"2,947",8.0,62,20,12,18,136.6
R. Faison,USU,QB,254,421,60.3,"2,933",7.0,86,26,12,12,133.5
K. Allen,PSU,QB,217,379,57.3,"2,921",7.7,75,21,11,27,134.5
N. Singleton,PSU,QB,275,426,64.6,"2,904",6.8,72,25,10,33,136.5
K. Mozee,M-OH,QB,277,393,70.5,"2,892",7.4,75,18,11,25,141.8
A. Hankerson,ORST,QB,216,350,61.7,"2,885",8.2,68,24,6,19,150.2
A. Henderson,BUFF,QB,273,420,65.0,"2,881",6.9,75,15,9,17,130.1
Q. Wisner,TEX,QB,269,403,66.7,"2,861",7.1,54,21,8,20,139.6
E. Sanders,UNM,QB,205,319,64.3,"2,844",8.9,84,16,11,23,148.8
Q. Judkins,OSU,QB,269,410,65.6,"2,831",6.9,59,17,11,27,131.9
P. Navarro,OHIO,QB,268,403,66.5,"2,828",7.0,44,18,6,26,137.2
J. Coleman,WASH,QB,275,410,67.1,"2,819",6.9,59,13,11,27,129.9
D. Claiborne,WAKE,QB,249,389,64.0,"2,813",7.2,80,18,7,17,136.4
B. Washington,BAY,QB,230,380,60.5,"2,796",7.4,85,14,9,9,129.8
L. Allen,SYR,QB,233,385,60.5,"2,793",7.3,78,24,8,14,137.9
T. Henderson,OSU,QB,259,420,61.7,"2,783",6.6,79,16,10,31,125.1
D. Taylor,TROY,QB,226,390,57.9,"2,768",7.1,55,12,12,5,121.6
M. Bernard,UTAH,QB,235,363,64.7,"2,727",7.5,67,16,11,32,136.3
A. Morrow,CSU,QB,189,287,65.9,"2,723",9.5,68,22,6,17,166.7
