Name,School,POS,REC,YDS,AVG,LNG,TD
Tank Dell,HOU,WR,109,"1,398",12.8,63,17
Charlie Jones,PUR,WR,110,"1,361",12.4,60,12
Rashee Rice,SMU,WR,96,"1,355",14.1,75,10
Malachi Corley,WKU,WR,101,"1,293",12.8,76,11
Jalin Hyatt,TENN,WR,67,"1,267",18.9,78,15
Marvin Harrison Jr.,OSU,WR,77,"1,263",16.4,58,14
Keylon Stokes,TLSA,WR,76,"1,224",16.1,76,8
Xavier Hutchinson,ISU,WR,107,"1,171",10.9,38,6
Emeka Egbuka,OSU,WR,74,"1,151",15.6,69,10
Rome Odunze,WASH,WR,75,"1,145",15.3,61,7
Zakhari Franklin,UTSA,WR,93,"1,137",12.2,43,15
Tory Horton,CSU,WR,71,"1,131",15.9,69,8
Jamari Thrash,GAST,WR,61,"1,122",18.4,75,7
Dorian Singer,ARIZ,WR,66,"1,105",16.7,73,6
Jalen McMillan,WASH,WR,79,"1,098",13.9,84,9
A.T. Perry,WAKE,WR,81,"1,096",13.5,68,11
Jalen Moreno-Cropper,FRES,WR,84,"1,093",13.0,75,5
Isaiah Winstead,ECU,WR,88,"1,085",12.3,67,6
Marvin Mims Jr.,OU,WR,54,"1,083",20.1,77,6
Zay Flowers,BC,WR,78,"1,077",13.8,69,12
Elijah Cooks,SJSU,WR,69,"1,076",15.6,52,10
Quentin Johnston,TCU,WR,60,"1,069",17.8,76,6
Jared Wayne,PITT,WR,60,"1,062",17.7,66,5
Trey Palmer,NEB,WR,71,"1,043",14.7,87,9
Tyrin Smith,UTEP,WR,71,"1,039",14.6,76,7
Tyler Hudson,LOU,WR,69,"1,034",15.0,54,2
Jacob Cowing,ARIZ/UTEP,WR,85,"1,034",12.2,39,7
Josh Downs,UNC,WR,94,"1,029",10.9,43,11
Malik Nabers,LSU,WR,72,"1,017",14.1,75,3
C.J. Johnson,ECU,WR,67,"1,016",15.2,74,10
Kris Thornton,JMU,WR,59,"1,015",17.2,54,7
Sam Pinckney,CCU,WR,71,996,14.0,48,3
DeMario Douglas,LIB,WR,79,993,12.6,51,6
Joshua Cephus,UTSA,WR,87,985,11.3,65,6
Malik Heath,MISS,WR,60,971,16.2,53,5
Oronde Gadsden II,SYR,TE,61,969,15.9,46,6
Jeremiah Hunter,CAL,WR,60,965,16.1,58,5
Ali Jennings,ODU,WR,54,959,17.8,77,9
Elijah Spencer,CLT,WR,57,943,16.5,60,9
Brock Bowers,UGA,TE,63,942,15.0,78,7
Jaylin Lane,MTSU,WR,69,940,13.6,89,5
Tre Harris,LT,WR,65,935,14.4,64,10
Shocky Jacques-Louis,AKR,WR,74,931,12.6,41,2
Antwane Wells Jr.,SC,WR,68,928,13.6,72,6
Khaleb Hood,GASO,WR,87,925,10.6,46,3
Brian Cobbs,USU,WR,76,923,12.1,44,5
Trea Shropshire,UAB,WR,41,923,22.5,74,6
Devontez Walker,KENT,WR,58,921,15.9,56,11
Jose Barbon,TEM,WR,72,918,12.8,78,2
Matt Landers,LANDERS,WR,47,901,19.2,59,8
