Name,School,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS,LNG,TD,FF
Shaun Dolac,BUFF,LB,81,87,168,6.0,30,5,5,177,70,1,0
Red Murdock,BUFF,LB,73,83,156,2.0,11,1,1,31,31,1,7
Carson Schwesinger,UCLA,LB,90,46,136,4.0,35,3,2,13,13,0,1
Jackson Woodard,UNLV,LB,69,66,135,3.5,28,12,4,48,26,0,0
Colin Ramos,NAVY,LB,58,71,129,3.0,19,2,0,0,0,0,1
Travion Barnes,FIU,LB,59,70,129,3.0,14,0,2,85,85,1,0
Jacob Rodriguez,TTU,LB,78,49,127,5.0,42,4,1,9,9,0,3
Isaac Smith,MSST,S,46,81,127,0.0,0,3,0,0,0,0,1
Jayden McDonald,CONN,LB,51,74,125,3.5,37,3,1,12,12,0,0
Jay Higgins,IOWA,LB,53,71,124,1.0,5,5,4,15,10,0,2
Stone Blanton,MSST,LB,29,95,124,0.5,0,3,0,0,0,0,2
Matt Salopek,M-OH,LB,54,68,122,1.0,7,3,3,1,1,0,2
Nick Andersen,WAKE,DB,56,66,122,0.0,0,1,2,30,30,0,1
Marques Watson-Trent,GASO,LB,52,68,120,1.5,15,1,0,0,0,0,4
Whit Weeks,LSU,LB,61,59,120,3.5,22,4,1,5,5,0,2
Bryan McCoy,AKR,LB,54,66,120,0.0,0,2,0,0,0,0,0
Jihaad Campbell,ALA,LB,55,64,119,5.0,44,2,1,24,24,0,2
Aiden Fisher,IU,LB,49,69,118,1.5,5,4,0,0,0,0,0
Kobe Wilson,SMU,LB,54,63,117,3.0,17,2,2,116,82,1,1
Jordan Vincent,USU,S,63,54,117,0.0,0,2,4,39,15,0,0
Donovan McMillon,PITT,S,55,60,115,0.0,0,7,1,7,7,0,1
K.C. Ossai,UL,LB,58,57,115,0.5,2,3,1,3,3,0,1
Jordan Pollard,SJSU,LB,59,56,115,2.0,13,3,1,0,0,0,0
Jaden Yates,MRSH,LB,33,82,115,0.5,3,2,0,0,0,0,0
Teddye Buchanan,CAL,LB,45,69,114,5.0,33,4,0,0,0,0,2
Anthony Hill Jr.,TEX,LB,59,54,113,8.0,44,1,1,32,32,0,4
Cody Simon,OSU,LB,51,61,112,7.0,57,7,0,0,0,0,1
Chandler Martin,MEM,LB,59,52,111,7.0,46,4,1,0,0,0,1
Tyquan King,TEM,LB,54,57,111,3.0,17,0,0,0,0,0,1
Danny Stutsman,OU,LB,44,66,110,1.0,4,0,0,0,0,0,0
Tuasivi Nomura,FRES,LB,68,41,109,0.0,0,3,0,0,0,0,0
Donald Willis,WMU,LB,62,47,109,1.0,8,4,0,0,0,0,1
Antonio Carter,JVST,S,55,54,109,1.0,10,3,1,6,6,0,0
Fred Perry,JVST,S,46,63,109,3.0,36,2,0,0,0,0,2
Maxen Hook,TOL,S,62,46,108,0.0,0,4,2,23,18,0,1
Jaylen Smith,UNT,LB,44,62,106,0.0,0,2,1,6,6,0,0
Keaton Thomas,BAY,LB,62,44,106,2.5,12,0,1,37,35,1,0
Omar Rogers,ECU,DB,43,62,105,1.0,5,2,1,9,9,0,0
Dariel Djabome,RUTG,LB,49,56,105,3.5,33,1,0,0,0,0,2
Carson Bruener,WASH,LB,60,44,104,0.0,0,5,3,55,31,0,1
Matt Jones,BAY,LB,64,40,104,4.0,26,6,0,0,0,0,1
Dillon Thieneman,PUR,DB,70,34,104,1.0,2,6,0,0,0,0,0
D.J. Woodbury Sr.,TEM,LB,66,37,103,2.0,22,0,1,42,42,0,0
Anthony Wilson Jr.,WVU,S,52,50,102,0.0,0,3,2,79,79,1,0
Blayne Myrick,USA,LB,45,56,101,2.0,13,2,1,33,33,1,1
Isaiah Nwokobia,SMU,S,53,47,100,0.5,5,3,3,13,13,0,0
Kyle Louis,PITT,LB,45,55,100,7.0,40,3,4,68,59,1,1
Kyle Jacob,NAVY,LB,52,48,100,1.0,7,2,3,38,27,0,1
Ozzie Nicholas,DUKE,LB,40,60,100,0.5,1,2,1,29,29,0,2
Sonny Styles,OSU,S,49,51,100,6.0,50,5,0,0,0,0,1
