Name,School,POS,REC,YDS,AVG,LNG,TD
H. Fannin Jr.,BGSU,TE,117,"1,555",13.3,65,10
N. Nash,SJSU,WR,104,"1,382",13.3,45,16
T. McMillan,ARIZ,WR,84,"1,319",15.7,78,8
J. Smith,OSU,WR,76,"1,315",17.3,70,15
T. Hunter,COLO,WR,96,"1,258",13.1,58,15
C. Owen,OHIO,WR,78,"1,245",16.0,75,8
T. Warren,PSU,TE,104,"1,233",11.9,38,8
K. Williams,WSU,WR,70,"1,198",17.1,66,14
J. Noel,ISU,WR,80,"1,194",14.9,75,8
J. Higgins,ISU,WR,87,"1,183",13.6,39,9
E. Rivers,FIU,WR,62,"1,172",18.9,62,12
A. Armstrong,ARK,WR,78,"1,140",14.6,43,1
X. Restrepo,MIA,WR,69,"1,127",16.3,77,11
J. Pritchett,USA,WR,91,"1,127",12.4,75,9
T. Felton,MD,WR,96,"1,124",11.7,75,9
J. Tyson,ASU,WR,75,"1,101",14.7,59,10
M. Dalena,FRES,WR,64,"1,065",16.6,75,8
C. Rucker,ARST,WR,69,"1,053",15.3,79,7
D. Ross,TROY,WR,76,"1,043",13.7,98,11
R. White III,UNLV,WR,79,"1,041",13.2,55,11
J. Bech,TCU,WR,62,"1,034",16.7,52,9
J. Newton,TOL,WR,72,"1,033",14.3,64,11
M. Williams,TULN,WR,60,"1,031",17.2,68,6
T. Harris,MISS,WR,60,"1,030",17.2,70,7
J. Kelly,TTU,WR,89,"1,023",11.5,41,5
J. Meeks,SYR,WR,78,"1,021",13.1,41,7
J. Brooks,LOU,WR,61,"1,013",16.6,86,9
E. Egbuka,OSU,WR,81,"1,011",12.5,68,10
T. Edwards,LT,WR,85,989,11.6,86,6
M. Golden,TEX,WR,58,987,17.0,54,9
P. Bryant,ILL,WR,54,984,18.2,64,10
J. Lockhart,SJSU,WR,53,983,18.5,57,5
K. Lambert-Smith,AUB,WR,50,981,19.6,67,8
T. Hurst,GAST,WR,56,961,17.2,76,9
J. Vandeross III,TOL,WR,85,957,11.3,73,5
E. Sarratt,IU,WR,53,957,18.1,84,8
R. Taylor,MEM,WR,66,950,14.4,48,2
T. Pena,SYR,WR,84,941,11.2,50,9
O. Gadsden II,SYR,TE,73,934,12.8,39,7
K. Coleman Jr.,MSST,WR,74,932,12.6,80,6
L. Wester,COLO,WR,74,931,12.6,69,10
K. Johnson,WKU,WR,75,925,12.3,51,7
J. Watkins,MISS,WR,49,906,18.5,75,9
A. Williams,CLEM,WR,75,904,12.1,57,11
C. Camper,BOIS,WR,58,903,15.6,53,4
T. Walker,ORST,WR,81,901,11.1,43,2
T. Johnson,ORE,WR,83,898,10.8,52,10
G. Jackson,WASH,WR,85,893,10.5,49,7
T. Wease Jr.,MIZ,WR,60,884,14.7,70,4
A. Anderson,LSU,WR,61,884,14.5,76,5
