Name,School,Tackles,Sacks,Interceptions,POS,SOLO,AST,TOT,SACK,YDS,PD,INT,YDS
Jason Henderson,ODU,LB,58,121,179,0.5,5,1,0,0,0,0,0
Shaun Dolac,BUFF,LB,97,51,148,4.5,29,7,0,0,0,0,3
Cedric Gray,UNC,LB,82,62,144,1.0,7,6,2,30,17,0,3
Jackson Mitchell,CONN,LB,52,88,140,4.5,28,3,1,4,4,0,2
KD Davis,UNT,LB,71,66,137,1.0,12,1,1,0,0,0,1
Ryan McWood,M-OH,LB,51,84,135,0.5,4,3,1,26,26,0,1
Carlton Martial,TROY,LB,54,81,135,0.5,3,2,1,21,21,0,1
Dorian Williams,TULN,LB,81,50,131,5.0,26,7,2,13,13,0,2
Bubba Arslanian,AKR,LB,61,68,129,1.0,8,2,1,5,5,0,0
Jason Johnson,UCF,LB,70,59,129,1.5,14,0,0,0,0,0,2
Jack Campbell,IOWA,LB,59,66,125,1.0,9,1,2,30,30,0,1
Austin Ajiake,UNLV,S,58,66,124,3.0,14,0,2,56,47,0,0
Matt Salopek,M-OH,LB,61,63,124,3.5,22,1,0,0,0,0,1
Danny Stutsman,OU,LB,70,54,124,3.0,22,5,2,40,37,0,0
Easton Gibbs,WYO,LB,64,57,121,3.0,8,1,0,0,0,0,1
Tommy Eichenberg,OSU,LB,77,43,120,2.5,12,3,1,15,15,1,0
Cal Haladay,MSU,LB,42,78,120,1.5,12,0,0,0,0,0,1
Jaylan Ford,TEX,LB,62,57,119,2.0,21,2,4,48,18,0,2
Ace Eley,GT,LB,57,61,118,3.5,34,3,0,0,0,0,4
Ryan Smenda Jr.,WAKE,LB,41,76,117,0.0,0,3,0,0,0,0,0
James Patterson,BUFF,LB,69,48,117,1.5,18,2,1,5,5,0,2
Dallas Gant,TOL,LB,50,65,115,0.0,0,5,0,0,0,0,2
Jett Johnson,MSST,LB,48,67,115,2.0,16,2,0,0,0,0,0
Nathaniel Watson,MSST,LB,51,62,113,6.0,47,0,1,51,51,0,1
Nick Anderson,TULN,LB,62,51,113,2.0,18,4,0,0,0,0,2
Marques Watson-Trent,GASO,LB,49,64,113,1.0,5,3,0,0,0,0,1
Charlie Thomas III,GT,LB,71,41,112,2.0,13,2,2,28,28,0,2
Krishon Merriweather,TTU,LB,71,41,112,2.0,11,0,0,0,0,0,2
Xavier Cullens,MEM,LB,59,52,111,2.0,15,2,3,113,54,2,1
Kyle Soelle,ASU,LB,56,54,110,0.0,0,2,2,0,0,0,0
Clayton Coll,BALL,LB,49,61,110,2.0,6,3,0,0,0,0,2
Noah Wilder,UAB,LB,59,50,109,0.5,3,2,0,0,0,0,1
David Ugwoegbu,OU,DL,56,53,109,2.0,19,1,0,0,0,0,0
Chris Ojoh,NMSU,LB,69,39,108,5.0,30,2,0,0,0,0,2
Dwayne Boyles,USF,LB,69,39,108,1.0,3,3,1,37,37,0,3
DJ Schramm,BOIS,LB,54,54,108,0.5,3,0,0,0,0,0,1
Dyontae Johnson,TOL,LB,42,66,108,3.0,24,3,0,0,0,0,1
DeMarcco Hellams,ALA,S,67,41,108,1.0,8,7,1,0,0,0,1
Jack Howell,CSU,DB,42,66,108,0.5,5,3,3,19,19,0,1
JaQues Evans,WKU,LB,65,42,107,9.0,67,5,0,0,0,0,0
Daiyan Henley,WSU,LB,54,52,106,4.0,20,1,1,11,11,0,3
Kenny Logan Jr.,KU,S,72,34,106,0.0,0,4,2,43,26,0,1
Anfernee Orji,VAN,LB,52,54,106,1.0,8,0,1,0,0,0,1
Larry Nixon III,UNT,LB,51,53,104,1.0,7,0,0,0,0,0,0
Jackson Sirmon,CAL,LB,49,55,104,3.5,12,4,1,1,1,0,1
Nick Jackson,UVA,LB,41,63,104,5.0,30,4,0,0,0,0,0
Travion Fluellen,MTSU,S,58,46,104,0.0,0,8,2,32,32,1,0
Cody Moon,UNM,LB,42,62,104,4.5,36,3,0,0,0,0,1
Nico Bolden,KENT,S,64,39,103,0.0,0,1,0,0,0,0,0
Power Echols,UNC,LB,70,33,103,2.0,19,2,1,40,40,0,1
