Name,School,POS,ATT,YDS,AVG,LNG,TD
Brad Roberts,AFA,RB,345,"1,728",5.0,71,17
DeWayne McBride,UAB,RB,233,"1,713",7.4,68,19
Mohamed Ibrahim,MINN,RB,320,"1,665",5.2,54,20
Chase Brown,ILL,RB,328,"1,643",5.0,49,10
Tyjae Spears,TULN,RB,229,"1,581",6.9,75,19
Bijan Robinson,TEX,RB,258,"1,580",6.1,78,18
Quinshon Judkins,MISS,RB,274,"1,567",5.7,61,16
Deuce Vaughn,KSU,RB,293,"1,558",5.3,88,9
Carson Steele,BALL,RB,289,"1,556",5.4,48,14
Khalan Laborn,MRSH,RB,302,"1,513",5.0,83,16
Blake Corum,MICH,RB,247,"1,463",5.9,61,18
Keaton Mitchell,ECU,RB,201,"1,452",7.2,81,14
Raheim Sanders,ARK,RB,222,"1,443",6.5,76,10
Israel Abanikanda,PITT,RB,239,"1,431",6.0,80,20
Kendre Miller,TCU,RB,224,"1,399",6.2,75,17
Frank Gore Jr.,USM,RB,228,"1,382",6.1,64,9
Jordan Mims,FRES,RB,261,"1,370",5.2,82,18
Eric Gray,OU,RB,213,"1,366",6.4,54,11
Zach Charbonnet,UCLA,RB,195,"1,359",7.0,49,14
Marquez Cooper,KENT,RB,285,"1,331",4.7,46,13
Braelon Allen,WISC,RB,230,"1,242",5.4,96,11
Xazavian Valladay,ASU,RB,215,"1,192",5.5,44,16
Brian Battie,USF,RB,176,"1,186",6.7,68,8
Will Shipley,CLEM,RB,210,"1,182",5.6,53,15
Samson Evans,EMU,RB,249,"1,166",4.7,42,15
George Holani,BOIS,RB,221,"1,157",5.2,59,10
Kimani Vidal,TROY,RB,231,"1,132",4.9,40,10
Calvin Tyler Jr.,USU,RB,253,"1,122",4.4,31,7
De'Von Achane,TA&M,RB,196,"1,102",5.6,65,8
Devin Neal,KU,RB,180,"1,090",6.1,80,9
Sieh Bangura,OHIO,RB,222,"1,078",4.9,64,13
La'Damian Webb,USA,RB,209,"1,062",5.1,69,13
Nicholas Singleton,PSU,RB,156,"1,061",6.8,87,12
Sean Tucker,SYR,RB,206,"1,060",5.1,60,11
Bucky Irving,ORE,RB,156,"1,058",6.8,66,5
Ray Davis,VAN,RB,232,"1,042",4.5,45,5
Titus Swen,WYO,RB,207,"1,039",5.0,83,8
Sean Tyler,WMU,RB,209,"1,027",4.9,63,7
Aidan Robbins,UNLV,RB,209,"1,011",4.8,66,9
Larry McCammon III,FAU,RB,194,"1,004",5.2,58,7
Donovan Edwards,MICH,RB,140,991,7.1,85,7
Trey Benson,FSU,RB,154,990,6.4,45,9
Roman Hemby,MD,RB,188,989,5.3,75,10
Damien Martinez,ORST,RB,161,982,6.1,50,7
Richard Reese,BAY,RB,198,972,4.9,52,14
Tank Bigsby,AUB,RB,179,970,5.4,50,10
Devin Mockobee,PUR,RB,195,968,5.0,68,9
Jermaine Brown Jr.,UAB,RB,166,948,5.7,54,8
Zach Evans,MISS,RB,144,936,6.5,48,9
Jahmyr Gibbs,ALA,RB,151,926,6.1,76,7
