Name,School,POS,REC,YDS,AVG,LNG,TD
Jason Henderson,ODU,WR,109,"1,398",12.8,63,17
Shaun Dolac,BUFF,WR,110,"1,361",12.4,60,12
Cedric Gray,UNC,WR,96,"1,355",14.1,75,10
Jackson Mitchell,CONN,WR,101,"1,293",12.8,76,11
KD Davis,UNT,WR,67,"1,267",18.9,78,15
Ryan McWood,M-OH,WR,77,"1,263",16.4,58,14
Carlton Martial,TROY,WR,76,"1,224",16.1,76,8
Dorian Williams,TULN,WR,107,"1,171",10.9,38,6
Bubba Arslanian,AKR,WR,74,"1,151",15.6,69,10
Jason Johnson,UCF,WR,75,"1,145",15.3,61,7
Jack Campbell,IOWA,WR,93,"1,137",12.2,43,15
Austin Ajiake,UNLV,WR,71,"1,131",15.9,69,8
Matt Salopek,M-OH,WR,61,"1,122",18.4,75,7
Danny Stutsman,OU,WR,66,"1,105",16.7,73,6
Easton Gibbs,WYO,WR,79,"1,098",13.9,84,9
Tommy Eichenberg,OSU,WR,81,"1,096",13.5,68,11
Cal Haladay,MSU,WR,84,"1,093",13.0,75,5
Jaylan Ford,TEX,WR,88,"1,085",12.3,67,6
Ace Eley,GT,WR,54,"1,083",20.1,77,6
Ryan Smenda Jr.,WAKE,WR,78,"1,077",13.8,69,12
James Patterson,BUFF,WR,69,"1,076",15.6,52,10
Dallas Gant,TOL,WR,60,"1,069",17.8,76,6
Jett Johnson,MSST,WR,60,"1,062",17.7,66,5
Nathaniel Watson,MSST,WR,71,"1,043",14.7,87,9
Nick Anderson,TULN,WR,71,"1,039",14.6,76,7
Marques Watson-Trent,GASO,WR,69,"1,034",15.0,54,2
Charlie Thomas III,GT,WR,85,"1,034",12.2,39,7
Krishon Merriweather,TTU,WR,94,"1,029",10.9,43,11
Xavier Cullens,MEM,WR,72,"1,017",14.1,75,3
Kyle Soelle,ASU,WR,67,"1,016",15.2,74,10
Clayton Coll,BALL,WR,59,"1,015",17.2,54,7
Noah Wilder,UAB,WR,71,996,14.0,48,3
David Ugwoegbu,OU,WR,79,993,12.6,51,6
Chris Ojoh,NMSU,WR,87,985,11.3,65,6
Dwayne Boyles,USF,WR,60,971,16.2,53,5
DJ Schramm,BOIS,TE,61,969,15.9,46,6
Dyontae Johnson,TOL,WR,60,965,16.1,58,5
DeMarcco Hellams,ALA,WR,54,959,17.8,77,9
Jack Howell,CSU,WR,57,943,16.5,60,9
JaQues Evans,WKU,TE,63,942,15.0,78,7
Daiyan Henley,WSU,WR,69,940,13.6,89,5
Kenny Logan Jr.,KU,WR,65,935,14.4,64,10
Anfernee Orji,VAN,WR,74,931,12.6,41,2
Larry Nixon III,UNT,WR,68,928,13.6,72,6
Jackson Sirmon,CAL,WR,87,925,10.6,46,3
Nick Jackson,UVA,WR,76,923,12.1,44,5
Travion Fluellen,MTSU,WR,41,923,22.5,74,6
Cody Moon,UNM,WR,58,921,15.9,56,11
Nico Bolden,KENT,WR,72,918,12.8,78,2
Power Echols,UNC,WR,47,901,19.2,59,8
